manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Alesis,SR-16,Normal mode,Kick,,basic,36,36,36,,1~127: Volume
Alesis,SR-16,Normal mode,Snare,,basic,38,38,38,,1~127: Volume
Alesis,SR-16,Normal mode,Claps,,basic,39,39,39,,1~127: Volume
Alesis,SR-16,Normal mode,Closed hihat,,basic,42,42,42,,1~127: Volume
Alesis,SR-16,Normal mode,Open hihat,,basic,46,46,46,,1~127: Volume
Alesis,SR-16,Normal mode,Tom 1,,basic,48,48,48,,1~127: Volume
Alesis,SR-16,Normal mode,Tom 2,,basic,45,45,45,,1~127: Volume
Alesis,SR-16,Normal mode,Tom 3,,basic,41,41,41,,1~127: Volume
Alesis,SR-16,Normal mode,Ride,,basic,51,51,51,,1~127: Volume
Alesis,SR-16,Normal mode,Crash,,basic,49,49,49,,1~127: Volume
Alesis,SR-16,Normal mode,Percussion 1,,basic,65,65,65,,1~127: Volume
Alesis,SR-16,Normal mode,Percussion 2,,basic,67,67,67,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 01,,basic,0,0,0,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 02,,basic,1,1,1,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 03,,basic,2,2,2,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 04,,basic,3,3,3,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 05,,basic,4,4,4,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 06,,basic,5,5,5,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 07,,basic,6,6,6,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 08,,basic,7,7,7,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 09,,basic,8,8,8,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 10,,basic,9,9,9,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 11,,basic,10,10,10,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 00 Pad 12,,basic,11,11,11,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 01,,basic,12,12,12,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 02,,basic,13,13,13,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 03,,basic,14,14,14,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 04,,basic,15,15,15,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 05,,basic,16,16,16,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 06,,basic,17,17,17,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 07,,basic,18,18,18,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 08,,basic,19,19,19,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 09,,basic,20,20,20,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 10,,basic,21,21,21,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 11,,basic,22,22,22,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 01 Pad 12,,basic,23,23,23,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 01,,basic,24,24,24,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 02,,basic,25,25,25,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 03,,basic,26,26,26,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 04,,basic,27,27,27,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 05,,basic,28,28,28,,1~127: Volume
Alesis,SR-16,Multi-drumset mode,Drumset 02 Pad 06,,basic,29,29,29,,1~127: Volume
