manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Elektron,Model Cycles,Track,Note,,3,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Mute,,94,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Track Level,,95,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Pan,,10,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Pitch,,65,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Decay Time,,80,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Color,,16,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Shape,,17,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Sweep,,18,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Contour,,19,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Delay Send,,12,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Reverb Send,,13,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Volume and Distortion,,7,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Swing,,15,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Chance,,14,,,,,,,,,,0-based,,
Elektron,Model Cycles,Track,Machine Selection,,70,,,,,,,,,,0-based,,
Elektron,Model Cycles,Playback,Punch,,66,,,,,,,,,,0-based,,
Elektron,Model Cycles,Playback,Gate,,67,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Speed,,102,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Multiplier,,103,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Fade In/Out,,104,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Destination,,105,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Waveform,,106,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Start Phase,,107,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Reset,,108,,,,,,,,,,0-based,,
Elektron,Model Cycles,LFO,Depth,,109,,,,,,,,,,0-based,,
Elektron,Model Cycles,FX Parameters,Delay Time,,85,,,,,,,,,,0-based,,
Elektron,Model Cycles,FX Parameters,Delay Feedback,,86,,,,,,,,,,0-based,,
Elektron,Model Cycles,FX Parameters,Reverb Size,,87,,,,,,,,,,0-based,,
Elektron,Model Cycles,FX Parameters,Reverb Tone,,88,,,,,,,,,,0-based,,
