manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Elektron,Syntakt,Fixed track,Track 1,Triggers track 1 regardless of the active track,auto,0,0,0,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 2,Triggers track 2 regardless of the active track,auto,1,1,1,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 3,Triggers track 3 regardless of the active track,auto,2,2,2,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 4,Triggers track 4 regardless of the active track,auto,3,3,3,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 5,Triggers track 5 regardless of the active track,auto,4,4,4,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 6,Triggers track 6 regardless of the active track,auto,5,5,5,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 7,Triggers track 7 regardless of the active track,auto,6,6,6,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 8,Triggers track 8 regardless of the active track,auto,7,7,7,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 9,Triggers track 9 regardless of the active track,auto,8,8,8,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 10,Triggers track 10 regardless of the active track,auto,9,9,9,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 11,Triggers track 11 regardless of the active track,auto,10,10,10,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Fixed track,Track 12,Triggers track 12 regardless of the active track,auto,11,11,11,Fixed drum-map note on the Auto channel; independent of the active track. Track must be on its default MIDI channel (1-12).,
Elektron,Syntakt,Active track,Active track,Plays the currently active track chromatically across 73 semitones (C1 to C7) as in Keyboard mode,auto,12,84,,Middle C is C5 (note 60). Follows the active track's Keyboard-mode scale and root note.,
