manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
KORG,drumlogue,Master,Master volume,,7,39,0,16383,,,,,,,0-based,,
KORG,drumlogue,Bass drum,Bass drum tune,,20,,0,127,,,,,,,0-based,,
KORG,drumlogue,Bass drum,Bass drum drive,,21,,0,127,,,,,,,0-based,,
KORG,drumlogue,Bass drum,Bass drum attack,,22,,0,127,,,,,,,0-based,,
KORG,drumlogue,Bass drum,Bass drum decay,,23,,0,127,,,,,,,0-based,,
KORG,drumlogue,Bass drum,Bass drum level,,24,,0,127,,,,,,,0-based,,
KORG,drumlogue,Snare drum,Snare drum tune,,25,,0,127,,,,,,,0-based,,
KORG,drumlogue,Snare drum,Snare drum snappy level,,26,,0,127,,,,,,,0-based,,
KORG,drumlogue,Snare drum,Snare drum snappy decay,,27,,0,127,,,,,,,0-based,,
KORG,drumlogue,Snare drum,Snare drum decay,,28,,0,127,,,,,,,0-based,,
KORG,drumlogue,Snare drum,Snare drum level,,29,,0,127,,,,,,,0-based,,
KORG,drumlogue,Low tom,Low tom tune,,46,,0,127,,,,,,,0-based,,
KORG,drumlogue,Low tom,Low tom detune,,47,,0,127,,,,,,,0-based,,
KORG,drumlogue,Low tom,Low tom decay,,48,,0,127,,,,,,,0-based,,
KORG,drumlogue,Low tom,Low tom level,,49,,0,127,,,,,,,0-based,,
KORG,drumlogue,High tom,High tom tune,,50,,0,127,,,,,,,0-based,,
KORG,drumlogue,High tom,High tom detune,,51,,0,127,,,,,,,0-based,,
KORG,drumlogue,High tom,High tom decay,,52,,0,127,,,,,,,0-based,,
KORG,drumlogue,High tom,High tom level,,53,,0,127,,,,,,,0-based,,
KORG,drumlogue,Closed hi-hat,Closed hi-hat tune,,61,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Closed hi-hat,Closed hi-hat decay,,62,,0,127,,,,,,,0-based,,
KORG,drumlogue,Closed hi-hat,Closed hi-hat level,,63,,0,127,,,,,,,0-based,,
KORG,drumlogue,Open hi-hat,Open hi-hat tune,,80,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Open hi-hat,Open hi-hat decay,,81,,0,127,,,,,,,0-based,,
KORG,drumlogue,Open hi-hat,Open hi-hat level,,82,,0,127,,,,,,,0-based,,
KORG,drumlogue,Rimshot,Rimshot tune,,55,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Rimshot,Rimshot decay,,56,,0,127,,,,,,,0-based,,
KORG,drumlogue,Rimshot,Rimshot level,,57,,0,127,,,,,,,0-based,,
KORG,drumlogue,Clap,Clap tune,,58,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Clap,Clap decay,,59,,0,127,,,,,,,0-based,,
KORG,drumlogue,Clap,Clap level,,60,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 1,Sample 1 tune,,102,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Sample 1,Sample 1 attack,,103,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 1,Sample 1 decay,,104,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 1,Sample 1 level,,105,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 2,Sample 2 tune,,106,,0,127,,,,,,,centered,Panel range -24.00 to +24.00 semitones.,
KORG,drumlogue,Sample 2,Sample 2 attack,,107,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 2,Sample 2 decay,,108,,0,127,,,,,,,0-based,,
KORG,drumlogue,Sample 2,Sample 2 level,,109,,0,127,,,,,,,0-based,,
KORG,drumlogue,Multi,Multi part level,,54,,0,127,,,,,,,0-based,,
KORG,drumlogue,VPM,VPM note,,110,,0,127,,,,,,,0-based,Panel range C-1 to G9.,
KORG,drumlogue,VPM,VPM index,,111,,0,127,,,,,,,0-based,,
KORG,drumlogue,VPM,VPM ratio,,112,,0,127,,,,,,,0-based,"Panel values 1/4, 1/2, 3/4, 1x, 2x to 16x.",
KORG,drumlogue,VPM,VPM envelope type,,113,,0,127,,,,,,,0-based,"Panel values AR, ASR, GATE.",
KORG,drumlogue,VPM,VPM attack,,114,,0,127,,,,,,,0-based,,
KORG,drumlogue,VPM,VPM release,,115,,0,127,,,,,,,0-based,,
KORG,drumlogue,Noise,Noise color,,116,,0,127,,,,,,,0-based,,
KORG,drumlogue,Noise,Noise attack,,117,,0,127,,,,,,,0-based,,
KORG,drumlogue,Noise,Noise release,,118,,0,127,,,,,,,0-based,,
KORG,drumlogue,Noise,Noise peak,,119,,0,127,,,,,,,0-based,,
KORG,drumlogue,User synth,User synth parameter 1,,16,,0,127,,,,,,,0-based,Function depends on the loaded user synth.,
KORG,drumlogue,User synth,User synth parameter 2,,17,,0,127,,,,,,,0-based,Function depends on the loaded user synth.,
KORG,drumlogue,User synth,User synth parameter 3,,18,,0,127,,,,,,,0-based,Function depends on the loaded user synth.,
KORG,drumlogue,User synth,User synth parameter 4,,19,,0,127,,,,,,,0-based,Function depends on the loaded user synth.,
KORG,drumlogue,Delay,Delay parameter 1,,12,,0,127,,,,,,,0-based,Function depends on the selected delay type.,
KORG,drumlogue,Delay,Delay parameter 2,,13,,0,127,,,,,,,0-based,Function depends on the selected delay type.,
KORG,drumlogue,Delay,Delay parameter 3,,14,,0,127,,,,,,,0-based,Function depends on the selected delay type.,
KORG,drumlogue,Delay,Delay return,,44,,0,127,,,,,,,0-based,"Panel values PRE, POST.",
KORG,drumlogue,Delay,Delay reverb send,,45,,0,127,,,,,,,0-based,,
KORG,drumlogue,Delay,Delay level,,92,,0,127,,,,,,,0-based,,
KORG,drumlogue,Reverb,Reverb parameter 1,,85,,0,127,,,,,,,0-based,Function depends on the selected reverb type.,
KORG,drumlogue,Reverb,Reverb parameter 2,,86,,0,127,,,,,,,0-based,Function depends on the selected reverb type.,
KORG,drumlogue,Reverb,Reverb parameter 3,,87,,0,127,,,,,,,0-based,Function depends on the selected reverb type.,
KORG,drumlogue,Reverb,Reverb parameter 4,,89,,0,127,,,,,,,0-based,Function depends on the selected reverb type. CC 88 is not used.,
KORG,drumlogue,Reverb,Reverb return,,83,,0,127,,,,,,,0-based,"Panel values PRE, POST.",
KORG,drumlogue,Reverb,Reverb level,,91,,0,127,,,,,,,0-based,,
KORG,drumlogue,Channel mode,All sound off,,120,,0,127,,,,,,,0-based,Receive only; not transmitted.,
KORG,drumlogue,Channel mode,Reset all controllers,,121,,0,127,,,,,,,0-based,Receive only; not transmitted.,
KORG,drumlogue,Channel mode,All notes off,,123,,0,127,,,,,,,0-based,Receive only; not transmitted.,
KORG,drumlogue,Channel mode,Omni mode off,,124,,0,127,,,,,,,0-based,Recognized and treated as All notes off. Receive only; not transmitted.,
KORG,drumlogue,Channel mode,Omni mode on,,125,,0,127,,,,,,,0-based,Recognized and treated as All notes off. Receive only; not transmitted.,
KORG,drumlogue,Channel mode,Mono mode on,,126,,0,127,,,,,,,0-based,Recognized and treated as All notes off. Receive only; not transmitted.,
KORG,drumlogue,Channel mode,Poly mode on,,127,,0,127,,,,,,,0-based,Recognized and treated as All notes off. Receive only; not transmitted.,
KORG,drumlogue,Multi: Part 1 bass drum,Bass drum level,,7,39,0,16383,,,,,,,0-based,Multi-channel mode; received on the part 1 channel (channel 1 by default).,
KORG,drumlogue,Multi: Part 1 bass drum,Bass drum pan,,10,,0,127,,,,,,,centered,Multi-channel mode; received on the part 1 channel (channel 1 by default).,
KORG,drumlogue,Multi: Part 1 bass drum,Bass drum reverb send,,91,,0,127,,,,,,,0-based,Multi-channel mode; received on the part 1 channel (channel 1 by default).,
