manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
KORG,drumlogue,Single channel mode,Bass drum,,basic,36,36,36,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Rimshot,,basic,37,37,37,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Clap,,basic,39,39,39,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Snare drum,,basic,40,40,40,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Closed hi-hat,,basic,42,42,42,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Low tom,,basic,45,45,45,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Open hi-hat,,basic,46,46,46,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,High tom,,basic,50,50,50,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Sample 1,,basic,52,52,52,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Sample 2,,basic,53,53,53,Pitch is unaffected by the note number.,
KORG,drumlogue,Single channel mode,Multi,"Multi part (VPM, Noise, or User synth engine)",basic,55,55,55,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Bass drum,,1,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Snare drum,,2,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Low tom,,3,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,High tom,,4,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Closed hi-hat,,5,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Open hi-hat,,6,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Rimshot,,7,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Clap,,8,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Sample 1,,9,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Sample 2,,10,0,127,,Pitch is unaffected by the note number.,
KORG,drumlogue,Multi channel mode,Multi,"Multi part (VPM, Noise, or User synth engine)",11,0,127,,Pitch follows note number.,
