manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
MIDI Association,Generic MIDI 1.0,Percussion,Acoustic bass drum,,10,35,35,35,,
MIDI Association,Generic MIDI 1.0,Percussion,Bass drum 1,,10,36,36,36,,
MIDI Association,Generic MIDI 1.0,Percussion,Side stick,,10,37,37,37,,
MIDI Association,Generic MIDI 1.0,Percussion,Acoustic snare,,10,38,38,38,,
MIDI Association,Generic MIDI 1.0,Percussion,Hand clap,,10,39,39,39,,
MIDI Association,Generic MIDI 1.0,Percussion,Electric snare,,10,40,40,40,,
MIDI Association,Generic MIDI 1.0,Percussion,Low floor tom,,10,41,41,41,,
MIDI Association,Generic MIDI 1.0,Percussion,Closed hi-hat,,10,42,42,42,,
MIDI Association,Generic MIDI 1.0,Percussion,High floor tom,,10,43,43,43,,
MIDI Association,Generic MIDI 1.0,Percussion,Pedal hi-hat,,10,44,44,44,,
MIDI Association,Generic MIDI 1.0,Percussion,Low tom,,10,45,45,45,,
MIDI Association,Generic MIDI 1.0,Percussion,Open hi-hat,,10,46,46,46,,
MIDI Association,Generic MIDI 1.0,Percussion,Low-mid tom,,10,47,47,47,,
MIDI Association,Generic MIDI 1.0,Percussion,Hi-mid tom,,10,48,48,48,,
MIDI Association,Generic MIDI 1.0,Percussion,Crash cymbal 1,,10,49,49,49,,
MIDI Association,Generic MIDI 1.0,Percussion,High tom,,10,50,50,50,,
MIDI Association,Generic MIDI 1.0,Percussion,Ride cymbal 1,,10,51,51,51,,
MIDI Association,Generic MIDI 1.0,Percussion,Chinese cymbal,,10,52,52,52,,
MIDI Association,Generic MIDI 1.0,Percussion,Ride bell,,10,53,53,53,,
MIDI Association,Generic MIDI 1.0,Percussion,Tambourine,,10,54,54,54,,
MIDI Association,Generic MIDI 1.0,Percussion,Splash cymbal,,10,55,55,55,,
MIDI Association,Generic MIDI 1.0,Percussion,Cowbell,,10,56,56,56,,
MIDI Association,Generic MIDI 1.0,Percussion,Crash cymbal 2,,10,57,57,57,,
MIDI Association,Generic MIDI 1.0,Percussion,Vibraslap,,10,58,58,58,,
MIDI Association,Generic MIDI 1.0,Percussion,Ride cymbal 2,,10,59,59,59,,
MIDI Association,Generic MIDI 1.0,Percussion,Hi bongo,,10,60,60,60,,
MIDI Association,Generic MIDI 1.0,Percussion,Low bongo,,10,61,61,61,,
MIDI Association,Generic MIDI 1.0,Percussion,Mute hi conga,,10,62,62,62,,
MIDI Association,Generic MIDI 1.0,Percussion,Open hi conga,,10,63,63,63,,
MIDI Association,Generic MIDI 1.0,Percussion,Low conga,,10,64,64,64,,
MIDI Association,Generic MIDI 1.0,Percussion,High timbale,,10,65,65,65,,
MIDI Association,Generic MIDI 1.0,Percussion,Low timbale,,10,66,66,66,,
MIDI Association,Generic MIDI 1.0,Percussion,High agogo,,10,67,67,67,,
MIDI Association,Generic MIDI 1.0,Percussion,Low agogo,,10,68,68,68,,
MIDI Association,Generic MIDI 1.0,Percussion,Cabasa,,10,69,69,69,,
MIDI Association,Generic MIDI 1.0,Percussion,Maracas,,10,70,70,70,,
MIDI Association,Generic MIDI 1.0,Percussion,Short whistle,,10,71,71,71,,
MIDI Association,Generic MIDI 1.0,Percussion,Long whistle,,10,72,72,72,,
MIDI Association,Generic MIDI 1.0,Percussion,Short guiro,,10,73,73,73,,
MIDI Association,Generic MIDI 1.0,Percussion,Long guiro,,10,74,74,74,,
MIDI Association,Generic MIDI 1.0,Percussion,Claves,,10,75,75,75,,
MIDI Association,Generic MIDI 1.0,Percussion,Hi wood block,,10,76,76,76,,
MIDI Association,Generic MIDI 1.0,Percussion,Low wood block,,10,77,77,77,,
MIDI Association,Generic MIDI 1.0,Percussion,Mute cuica,,10,78,78,78,,
MIDI Association,Generic MIDI 1.0,Percussion,Open cuica,,10,79,79,79,,
MIDI Association,Generic MIDI 1.0,Percussion,Mute triangle,,10,80,80,80,,
MIDI Association,Generic MIDI 1.0,Percussion,Open triangle,,10,81,81,81,,
