manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Modal Electronics,CARBON8,Global / Common,Bank Change,,0,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,Mod Wheel,,1,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO3 Rate,,3,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Glide,,5,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Main Volume,,7,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,Voice Mode,,9,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Expression Pedal,,11,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO3 Transform,,12,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO3 Depth,,13,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc1 Tune,,14,,0,127,,,,,,,centered,,
Modal Electronics,CARBON8,Oscillators,Osc1 Fine,,15,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc1 Contour,,16,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc2 Contour,,17,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc XMod,,18,,0,127,,,,,,,centered,,
Modal Electronics,CARBON8,Oscillators,Osc1 Level,,19,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc2 Level,,20,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,OscMod Mode,,21,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO3 Shape,,22,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,FEG Decay,,23,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,FEG Sustain,,24,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,FEG Release,,25,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Attack,,26,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Decay,,27,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Sustain,,28,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Release,,29,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc2 Tune,,30,,0,127,,,,,,,centered,,
Modal Electronics,CARBON8,Oscillators,Osc2 Fine,,31,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,FEG Amount,,32,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,Filter Warp,,33,,0,127,,,,,,,centered,,
Modal Electronics,CARBON8,Filter,Filter Cutoff,,34,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,Filter Resonance,,35,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO1 Rate,,36,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO1 Depth,,37,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO1 Shape,,39,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Octave,,40,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,Delay Mode,,41,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,Filter Type,,42,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Attack,,43,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Decay,,44,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Sustain,,45,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Release,,46,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO2 Rate,,47,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO2 Depth,,48,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Depth,,49,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO2 Shape,,50,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Depth,,51,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO MIDI Sync,,52,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Arpeggiator,Arp Gate,,53,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO Modes,,54,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Effects,Delay MIDI Sync,,55,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO1 Transform,,56,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,LFOs,LFO2 Transform,,57,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Arpeggiator,Arp Status,,58,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Arpeggiator,Arp Octave,,59,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Arpeggiator,Arp Direction,,60,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Arpeggiator,Arp Division,,61,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc1 Core,,62,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Oscillators,Osc2 Core,,63,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Sustain Pedal,,64,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Length,,67,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Lane on/off,,68,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Clear Lane,,69,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Hold,,70,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Loop,,71,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Record,,72,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Effects,Global FX Amount,,73,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Transpose,,75,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Tempo MSB,,76,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Tempo LSB,,77,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Swing,,78,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Sequencer,Seq Quantise,,79,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,AEG Type,,80,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Filter,FEG Type,,81,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,MEG Type,,82,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Global / Common,Audio In,,83,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,All EG Attack,,84,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,All EG Decay,,85,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,All EG Sustain,,86,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Envelopes,All EG Release,,87,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 1 Depth,,88,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 2 Depth,,89,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 3 Depth,,90,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 4 Depth,,91,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 5 Depth,,92,,0,127,,,,,,,0-based,,
Modal Electronics,CARBON8,Modulation,ModSlot 6 Depth,,93,,0,127,,,,,,,0-based,,
