manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Modal Electronics,COBALT8,Arpeggiator,Arp Gate,,53,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Arpeggiator,Arp Status,,58,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Arpeggiator,Arp Octave,,59,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Arpeggiator,Arp Direction,,60,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Arpeggiator,Arp Division,,61,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Delay,Delay Mode,,41,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Delay,Delay MIDI Sync,,55,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Type,,80,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Depth,,51,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Attack,,26,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Decay,,27,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Sustain,,28,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,AEG Release,,29,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Type,,81,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Amount,,32,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Attack,,22,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Decay,,23,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Sustain,,24,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,FEG Release,,25,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Type,,82,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Depth,,49,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Attack,,43,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Decay,,44,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Sustain,,45,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,MEG Release,,46,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,All EG Attack,,84,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,All EG Decay,,85,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,All EG Sustain,,86,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Envelopes,All EG Release,,87,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Filter,Filter Type,,42,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Filter,Cutoff,,34,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,Filter,Resonance,,35,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,FX,FX Amount,,73,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Bank change,,0,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Mod wheel,,1,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Glide,,5,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Main Volume,,7,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Voice Mode,,9,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Expression Pedal,,11,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Octave,,40,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Sustain Pedal,,64,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Transpose,,75,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Swing,,78,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Audio In,,83,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Chord Mode,,96,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Joystick X+,,116,,0,127,,,,,,,0-based,,
Modal Electronics,COBALT8,General,Joystick X-,,117,,0,127,,,,,,,0-based,,
