manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Plinky,Plinky 12,XY pad,XY pad X position,Horizontal position of the preset XY pad,1,,0,127,,,,,,,0-based,"When sent by Plinky it reflects the preset's stored XY position, not LFO or envelope playback offsets. Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4",0~127: X position
Plinky,Plinky 12,XY pad,XY pad Y position,Vertical position of the preset XY pad,2,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Y position
Plinky,Plinky 12,Filter,High-pass cutoff,"Cutoff of the non-resonant high-pass filter, placed before the low-pass filter (low value at the current XY position)",16,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Cutoff
Plinky,Plinky 12,Filter,Low-pass cutoff,"Cutoff of the resonant low-pass filter, also modulated by the envelope and velocity (low value at the current XY position)",17,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Cutoff
Plinky,Plinky 12,Filter,Resonance,"Resonance of the low-pass filter, self-resonating at maximum (low value at the current XY position)",18,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Resonance
Plinky,Plinky 12,Envelope,Attack,Rise time of the ADSR envelope (low value at the current XY position),19,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Attack time
Plinky,Plinky 12,Envelope,Decay,Fall time to the sustain level (low value at the current XY position),20,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Decay time
Plinky,Plinky 12,Envelope,Sustain,Level held while the touch or gate is held (low value at the current XY position),21,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Sustain level
Plinky,Plinky 12,Envelope,Release,Fall time from sustain to silence after release (low value at the current XY position),22,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Release time
Plinky,Plinky 12,Pitch,Glide,"Portamento time between notes, instant at 0 (low value at the current XY position)",23,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Glide time
Plinky,Plinky 12,Pitch,Pitch,Fine tune offset (low value at the current XY position),24,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Tune down; 64: Centre; 65~127: Tune up
Plinky,Plinky 12,Pitch,Octave,"Octave offset, plus or minus 5 octaves (low value at the current XY position)",25,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Octaves down; 64: Centre; 65~127: Octaves up
Plinky,Plinky 12,Sound,Sub oscillator / noise,"Bipolar source control, noise below centre, pitch-tracking sub oscillator above centre (low value at the current XY position)",26,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Noise; 64: Off; 65~127: Sub oscillator
Plinky,Plinky 12,Sound,Wavefold / saturation,"Bipolar drive control, tape saturation below centre, wavefolding above centre (low value at the current XY position)",27,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Saturation; 64: Off; 65~127: Wavefold
Plinky,Plinky 12,Voice mix,Stereo spread,Stereo position of the voice (low value at the current XY position),28,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4; Labelled Pan on the Blocks panel,0~127: Stereo spread
Plinky,Plinky 12,Voice mix,Delay send,Post-fader send to the global tape delay (low value at the current XY position),29,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Send amount
Plinky,Plinky 12,Voice mix,Reverb send,Post-fader send to the global reverb (low value at the current XY position),30,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Send amount
Plinky,Plinky 12,Voice mix,Toad factor,Pitch-tracking sample rate reducer (low value at the current XY position),31,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Amount
Plinky,Plinky 12,Voice mix,Volume,"Level of the voice, before master volume (low value at the current XY position)",32,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Level
Plinky,Plinky 12,Sound,Timestretch,Bipolar timestretch without pitch change; minimum freezes the sample into a wavetable (low value at the current XY position),33,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Shorter; 64: Centre; 65~127: Longer
Plinky,Plinky 12,Sound,Sample start,Start point of the sample; acts as wavetable position when timestretch is frozen (low value at the current XY position),34,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Start position
Plinky,Plinky 12,Sound,Sample length,Length of the sample played from the start point (low value at the current XY position),35,,0,127,,,,,,,0-based,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~127: Length
Plinky,Plinky 12,Sound,Chorus / wobble,"Bipolar effect control, random pitch wobble below centre, stereo chorus above centre (low value at the current XY position)",36,,0,127,,,,,,,centered,Voice presets listen on MIDI channels 1-12; stock panels use Toadstep tracks A-D on channels 1-4 and Chords All/Treble/Bass/Melody on channels 1-4,0~63: Wobble; 64: Off; 65~127: Chorus
