manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,deconstruct MINIMAL,Track,Sound,Selects the sound within the current bank,12,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Tune,Adjusts pitch tuning of the selected track,13,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Tone,Function varies by sound bank (LPF/HPF on general drums; snappy volume on SD; sub-oscillator octave on bass),14,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Move,Function varies by sound bank (modulation time on BD; nudge on SD/general; decay curve on SY/BS; slope on samples; glide time on bass),15,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Attack,Attack time or start position depending on track type,16,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Decay,Decay time or length depending on track type,17,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Reverb send,Send level to reverb effect. At 0 no signal is sent to the reverb.,18,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Delay send,Send level to delay effect. At 0 no signal is sent to the delay.,19,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Pan,Track pan position. L63 through Center to R63.,20,,0,127,,,,,,,centered,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Level,Track volume from -infinity to +6 dB. 0 dB at values 63-64.,21,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Random velocity,Amount of per-step velocity randomization. Maximum depth varies by sound bank.,22,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Mute,Mutes or unmutes the track,23,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Sound bank,Selects the sound bank for the track,24,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Drums,Accent hard,Adjusts hard accent depth for drum tracks,25,,0,127,,,,,,,0-based,Drum tracks only,
Sonicware,deconstruct MINIMAL,Drums,Accent soft,Adjusts soft accent depth for drum tracks,26,,0,127,,,,,,,0-based,Drum tracks only,
Sonicware,deconstruct MINIMAL,Samples,Accent hard,Adjusts hard accent depth for sample tracks,25,,0,127,,,,,,,0-based,Sample tracks only,
Sonicware,deconstruct MINIMAL,Samples,Accent soft,Adjusts soft accent depth for sample tracks,26,,0,127,,,,,,,0-based,Sample tracks only,
Sonicware,deconstruct MINIMAL,Samples,Repitch,Enables repitch so sample pitch follows tempo changes,27,,0,127,,,,,,,0-based,Sample tracks only,
Sonicware,deconstruct MINIMAL,Loop,Accent,Adjusts accent depth for the stereo sample track,25,,0,127,,,,,,,0-based,Stereo sample track only,
