manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Waldorf,Pulse 1,Oscillator 1,OSC1 Shape,,34,,0,2,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 1,OSC1 PWM,,35,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 1,OSC1 Semitone,,32,,16,112,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 1,OSC1 Detune,,33,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 2,OSC2 Shape,,38,,0,3,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 2,OSC2 PWM,,39,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 2,OSC2 Semitone,,36,,16,112,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 2,OSC2 Detune,,37,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 2,OSC2 Keytrack,,40,,0,1,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 3,OSC3 Shape,,44,,0,2,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 3,OSC3 Sync,,41,,0,1,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 3,OSC3 Semitone,,42,,16,112,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator 3,OSC3 Detune,,43,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator levels,OSC1 Level,,45,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator levels,OSC2 Level,,46,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator levels,OSC3 Level,,47,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Oscillator levels,Noise,,48,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,ENV AMP Attack,,18,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,ENV AMP Decay,,19,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,ENV AMP Sustain,,20,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,ENV AMP Release,,21,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,VCA Volume,,57,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,VCA Velocity,,58,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Amp,ENV AMP Trig,,31,,0,3,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV VCF Attack,,14,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV VCF Decay,,15,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV VCF Sustain,,16,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV VCF Release,,17,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,VCF Cutoff,,50,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,VCF RES,,56,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,VCF Keytrack,,51,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,VCF Velocity,,53,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV Amount,,52,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,VCF,ENV VCF Trig,,29,,0,3,,,,,,,0-based,,
Waldorf,Pulse 1,LFOs,LFO1 Speed,,24,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,LFOs,LFO1 SHP,,25,,0,7,,,,,,,0-based,,
Waldorf,Pulse 1,LFOs,LFO2 Speed,,26,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,LFOs,LFO2 Delay,,27,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,Modwheel,,1,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,Glide Rate,,5,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,Glidemod,,62,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,Volume,,7,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,PAN,,10,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,General,Bend UP,,63,,0,24,,,,,,,0-based,,
Waldorf,Pulse 1,General,Bend Down,,63,,0,24,,,,,,,0-based,,
Waldorf,Pulse 1,Arpeggiator,ARP Switch,,102,,0,2,,,,,,,0-based,,
Waldorf,Pulse 1,Arpeggiator,ARP Range,,103,,0,9,,,,,,,0-based,,
Waldorf,Pulse 1,Arpeggiator,ARP Tempo,,105,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Arpeggiator,ARP Clock,,104,,0,31,,,,,,,0-based,,
Waldorf,Pulse 1,Arpeggiator,ARP Mode,,106,,0,6,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD1 Source,,108,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD1 Amount,,109,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD1 Target,,110,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD2 Source,,111,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD2 Amount,,112,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD2 Target,,113,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD3 Source,,114,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD3 Amount,,115,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD3 Target,,116,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD4 Source,,117,,0,15,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD4 Amount,,118,,0,127,,,,,,,0-based,,
Waldorf,Pulse 1,Modulation,MOD4 Target,,119,,0,15,,,,,,,0-based,,
